goos: darwin
goarch: arm64
pkg: github.com/ritoon/claudenet/tp/array/1
cpu: Apple M4 Pro
BenchmarkToArray-14     	1000000000	         0.2313 ns/op	17291.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2225 ns/op	17980.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2226 ns/op	17972.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2225 ns/op	17979.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2230 ns/op	17939.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2225 ns/op	17980.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2222 ns/op	18000.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2227 ns/op	17958.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2236 ns/op	17891.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkToArray-14     	1000000000	         0.2224 ns/op	17982.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2222 ns/op	18000.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2230 ns/op	17939.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2225 ns/op	17975.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2226 ns/op	17969.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2223 ns/op	17996.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2226 ns/op	17972.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2225 ns/op	17977.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2231 ns/op	17928.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2225 ns/op	17974.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkToUint32-14    	1000000000	         0.2227 ns/op	17964.67 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/ritoon/claudenet/tp/array/1	5.392s
